,Tracts,,,Points,,
Pathways,Average,Max,Min,Average,Max,Min
ATR,266.75,603,106,26443.875,69283,9623
rostrum,1853.375,2020,1633,162936.625,188143,137536
Cing,1103.375,1369,872,167488.25,244088,100762
CST,1649.25,2044,1476,235265.375,308769,170535
Fornix,399,497,308,26618,37142,16703
genu,2134.5,2333,1967,166567.625,236384,144492
IFOF,862.875,985,774,128850.875,162086,90424
ILF,3751,4392,2950,566332.25,673060,367155
SLF,1333.125,1633,1044,174943.5,251994,105245
splenium,2209.625,2335,2063,206526.875,244341,182993
VTA,327.625,679,150,27784.125,54904,14982
